tag,frequency,fandom_specific,category
Sweet Eri (My Hero Academia),4,TRUE,Fandom
Bakusquad,4,TRUE,Fandom
Hero Dabi (My Hero Academia),4,TRUE,Fandom
Kaminari Denki is a Good Friend,4,TRUE,Fandom
Dead Yagi Toshinori | All Might,4,TRUE,Fandom
Soft Takami Keigo | Hawks,4,TRUE,Fandom
Hanahaki Disease,4,TRUE,Fandom
Regretful Bakugou Katsuki,4,TRUE,Fandom
Midoriya Izuku Adopts Everyone,4,TRUE,Fandom
Chaotic Hatsume Mei,4,TRUE,Fandom
YamaDad,4,TRUE,Fandom
Love Expert Kirishima,4,TRUE,Fandom
Sensei | All For One's Bad Parenting,4,TRUE,Fandom
Aizawa Shouta | Eraserhead Adopts Eri,4,TRUE,Fandom
Police Officer Midoriya Izuku,4,TRUE,Fandom
Hatsume Mei is a Good Friend,4,TRUE,Fandom
Corrupt Hero Public Safety Commission (My Hero Academia),4,TRUE,Fandom
Dabi is a Todoroki (My Hero Academia),4,TRUE,Fandom
Cryptid Midoriya Izuku,3,TRUE,Fandom
Chaotic Class 1-A (My Hero Academia),3,TRUE,Fandom
Protective Akaguro Chizome | Stain,3,TRUE,Fandom
Pro Hero Class 1-A (My Hero Academia),3,TRUE,Fandom
Vigilante Midoriya Hisashi,3,TRUE,Fandom
i ship izuku and trauma,3,TRUE,Fandom
U.A. High School (My Hero Academia),3,TRUE,Fandom
Possessive Aizawa Shouta | Eraserhead,3,TRUE,Fandom
Midoriya Hisashi Being an Asshole,3,TRUE,Fandom
Protective Toga Himiko,3,TRUE,Fandom
Snarky Midoriya Izuku,3,TRUE,Fandom
Bakugou Katsuki is a Good Cook,3,TRUE,Fandom
Bunny Midoriya Izuku,3,TRUE,Fandom
Bakugou Katsuki Needs Therapy,3,TRUE,Fandom
POV Bakugou Katsuki,3,TRUE,Fandom
Villain Aizawa Shouta | Eraserhead,3,TRUE,Fandom
Gay Disaster Shinsou Hitoshi,3,TRUE,Fandom
Hatsume Mei Has ADHD,3,TRUE,Fandom
Asexual Todoroki Shouto,3,TRUE,Fandom
Todoroki Enji | Endeavor Faces Consequences,3,TRUE,Fandom
bakudeku,3,TRUE,Fandom
Midoriya Izuku is Expelled from U.A. High School,3,TRUE,Fandom
Soft Shinsou Hitoshi,3,TRUE,Fandom
Nedzu Training Midoriya Izuku,3,TRUE,Fandom
"Todoroki ""Ride or Die"" Shouto",3,TRUE,Fandom
Kirishima Eijirou Has One For All Quirk,3,TRUE,Fandom
OP Midoriya Izuku,3,TRUE,Fandom
Midoriya Izuku Needs Help,3,TRUE,Fandom
Cat Midoriya Izuku,3,TRUE,Fandom
Protective Uraraka Ochako,3,TRUE,Fandom
Dead Midoriya Izuku,3,TRUE,Fandom
Dancer Midoriya Izuku,3,TRUE,Fandom
Flirty Midoriya Izuku,3,TRUE,Fandom
Manipulative Midoriya Izuku,3,TRUE,Fandom
Dabi is a Little Shit (My Hero Academia),3,TRUE,Fandom
Vigilante Class 1-A (My Hero Academia),3,TRUE,Fandom
Cute Todoroki Shouto,3,TRUE,Fandom
Mineta Minoru Being an Asshole,3,TRUE,Fandom
Minor Dadzawa,3,TRUE,Fandom
Quirk Theory (My Hero Academia),3,TRUE,Fandom
Chisaki Kai | Overhaul Being an Asshole,3,TRUE,Fandom
Monoma Neito is a Good Friend,3,TRUE,Fandom
My Hero Academia: Vigilantes References,3,TRUE,Fandom
Hero Toga Himiko,3,TRUE,Fandom
Nedzu being Nedzu,3,TRUE,Fandom
Usagiyama Rumi | Miruko is a Little Shit,3,TRUE,Fandom
Hero Shigaraki Tomura | Shimura Tenko,3,TRUE,Fandom
Kaminari Denki Being An Idiot,3,TRUE,Fandom
One For All Quirk (My Hero Academia),3,TRUE,Fandom
General Education Department Mineta Minoru,3,TRUE,Fandom
Feral Aizawa Shouta | Eraserhead,3,TRUE,Fandom
Traitor Midoriya Izuku,3,TRUE,Fandom
Bakugou Katsuki is Whipped,3,TRUE,Fandom
Parental Akaguro Chizome | Stain,3,TRUE,Fandom
I can't believe it's not Crack,3,TRUE,Fandom
Bisexual Disaster Midoriya Izuku,3,TRUE,Fandom
Todoroki Enji | Endeavor Redemption,3,TRUE,Fandom
Sadistic Nedzu (My Hero Academia),3,TRUE,Fandom
raptor stress grip,3,TRUE,Fandom
Big Brother Midoriya Izuku,3,TRUE,Fandom
Midoriya Izuku Loves Bakugou Katsuki,3,TRUE,Fandom
Aizawa Shouta | Eraserhead is Shinsou Hitoshi's Parent,3,TRUE,Fandom
Tsukauchi Naomasa is So Done,3,TRUE,Fandom
Tired Tsukauchi Naomasa,3,TRUE,Fandom
Protective Class 1-A,3,TRUE,Fandom
Aizawa is Best Dad,3,TRUE,Fandom
Kirishima Eijirou is a Ray of Sunshine,3,TRUE,Fandom
Takami Keigo | Hawks is a Mess,3,TRUE,Fandom
Midoriya Izuku Tries His Best,3,TRUE,Fandom
Good Parent Todoroki Rei,3,TRUE,Fandom
Touch-Starved!Todoroki,3,TRUE,Fandom
Dabi and Todoroki Fuyumi are Twins,3,TRUE,Fandom
Parental Aizawa Shouta | Eraserhead | Dadzawa,3,TRUE,Fandom
Bakugou Katsuki is So Done,3,TRUE,Fandom
Midoriya Izuku Has PTSD,3,TRUE,Fandom
Good Parent Sensei | All For One,3,TRUE,Fandom
dad mic,3,TRUE,Fandom
Midoriya Izuku & Nedzu Friendship,3,TRUE,Fandom
Todoroki Shouto is a Little Shit,3,TRUE,Fandom
Accidental Vigilante Midoriya Izuku,3,TRUE,Fandom
Tododeku if you squint - Freeform,3,TRUE,Fandom
Touch-Starved Bakugou Katsuki,3,TRUE,Fandom
Streamer Midoriya Izuku,3,TRUE,Fandom
Deku Protection Squad,3,TRUE,Fandom
Savage Midoriya Izuku,3,TRUE,Fandom
Yamada Hizashi | Present Mic is a Good Teacher,3,TRUE,Fandom
Aizawa Shouta | Eraserhead and Yamada Hizashi | Present Mic Adopt Eri and Shinsou Hitoshi,3,TRUE,Fandom
Good Sibling Dabi (My Hero Academia),3,TRUE,Fandom
Minor Jirou Kyouka/Yaoyorozu Momo,3,TRUE,Fandom
Model Bakugou Katsuki,3,TRUE,Fandom
Abused Shinsou Hitoshi,3,TRUE,Fandom
Aizawa Shouta | Eraserhead is Bad at Feelings,3,TRUE,Fandom
Abused Bakugou Katsuki,3,TRUE,Fandom
Dragon Kirishima Eijirou,3,TRUE,Fandom
Neglected Midoriya Izuku,3,TRUE,Fandom
Abusive Bakugou Mitsuki,3,TRUE,Fandom
Bakugou Katsuki Bashing,3,TRUE,Fandom
